Sr. No.,District2,Agroforestry Potential Area
1,District - BAKSA,Area - 1500
2,District - BARPETA,Area - 1030
3,District - BISWANATH,Area - 1203
4,District - BONGAIGAON,Area - 522
5,District - CACHAR,Area - 1453
6,District - CHARAIDEO,Area - 665
7,District - CHIRANG,Area - 918
8,District - DARRANG,Area - 843
9,District - DHEMAJI,Area - 1435
10,District - DHUBRI,Area - 931
11,District - DIBRUGARH,Area - 1611
12,District - DIMA HASAO,Area - 849
13,District - GOALPARA,Area - 1181
14,District - GOLAGHAT,Area - 1871
15,District - HAILAKANDI,Area - 661
16,District - HOJAI,Area - 830
17,District - JORHAT,Area - 1211
18,District - KAMRUP METRO,Area - 504
19,District - KAMRUP RURAL,Area - 1727
20,District - KARBI ANGLONG,Area - 1864
21,District - KARIMGANJ,Area - 984
22,District - KOKRAJHAR,Area - 1661
23,District - LAKHIMPUR,Area - 1829
24,District - MAJULI,Area - 417
25,District - MARIGAON,Area - 978
26,District - NAGAON,Area - 1626
27,District - NALBARI,Area - 629
28,District - SIBSAGAR,Area - 1077
29,District - SONITPUR,Area - 1529
30,District - SOUTH SALMARA,Area - 197
31,District - TINSUKIA,Area - 1488
32,District - UDALGURI,Area - 1354
33,District - WEST KARBI ANGLONG,Area - 1244
